City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,nurota,40.5614,65.6886,-1.9,74,4,5.45,UZ,1710434452
284,tara,56.8944,74.371,-10.51,97,100,2.57,RU,1710434452
285,obo,5.3998,26.4869,32.84,25,85,2.59,CF,1710434452
286,papao,-17.75,-149.55,26.82,76,97,4.58,PF,1710434452
287,saldanha,-33.0117,17.9442,24.03,80,61,6.47,ZA,1710434452
288,geraldton,-28.7667,114.6,22.23,88,0,3.6,AU,1710434223
289,houghton,47.1219,-88.569,4.86,77,75,4.12,US,1710434415
290,grand-bassam,5.2118,-3.7388,29.98,75,56,5.24,CI,1710434452
291,presidente epitacio,-21.7633,-52.1156,38.74,28,89,1.49,BR,1710434404
292,viedma,-40.8135,-62.9967,22.65,22,0,5.19,AR,1710434245
293,kourou,5.1552,-52.6478,32.03,61,25,3.81,GF,1710434452
294,sinan,34.8262,126.1086,3.06,73,0,1.16,KR,1710434452
295,hamar,60.7945,11.068,4.9,74,41,4.09,NO,1710434453
296,dongobesh,-4.0667,35.3833,15.01,94,84,1.04,TZ,1710434453
297,brooks,50.5834,-111.8851,-1.21,62,28,2.72,CA,1710433869
298,tralee,52.2704,-9.7026,14.14,82,75,3.6,IE,1710434453
299,sault ste. marie,46.5168,-84.3333,7.16,71,0,4.12,CA,1710434386
300,coxim,-18.5067,-54.76,37.41,36,82,0.97,BR,1710434453
301,san rafael del sur,11.8485,-86.4384,30.54,44,18,6.42,NI,1710434453
302,horsham,51.064,-0.3272,13.81,75,40,5.66,GB,1710434453
303,fale old settlement,-9.3852,-171.2468,28.96,76,13,4.07,TK,1710434453
304,santa rosa,14.3122,121.1114,27.28,80,56,3.69,PH,1710434287
305,kaliua,-5.0606,31.7936,20.1,89,99,0.97,TZ,1710434453
306,uturoa,-16.7333,-151.4333,28.32,77,91,4.12,PF,1710434453
307,solleftea,63.1667,17.2667,8.92,84,16,3.89,SE,1710434453
308,starotitarovskaya,45.2136,37.1439,10.27,92,100,2.77,RU,1710434453
309,kutum,14.2,24.6667,30.88,12,100,2.78,SD,1710434453
310,mayya,61.7333,130.2811,-23.38,100,98,0.5,RU,1710434453
311,boa vista,2.8197,-60.6733,33.99,43,40,3.6,BR,1710434383
312,civitavecchia,42.0933,11.7967,16.8,83,96,2.07,IT,1710434224
313,katol,21.2667,78.5833,26.35,18,0,1.88,IN,1710434454
314,prince rupert,54.3161,-130.3201,8.05,93,100,15.95,CA,1710434245
315,sao vicente,-23.9631,-46.3919,36.82,63,100,2.24,BR,1710434289
316,khandyga,62.6667,135.6,-28.91,100,97,0.29,RU,1710434454
317,rio grande,-32.035,-52.0986,33.06,53,6,4.54,BR,1710434454
318,fort st. john,56.2499,-120.8529,3.94,65,75,6.17,CA,1710434191
319,vernon,50.2581,-119.2691,7.91,69,33,3.09,CA,1710434454
320,nova sintra,14.8667,-24.7167,20.45,70,0,6.85,CV,1710434454
321,huangshan,29.7114,118.3125,11.24,93,93,0.57,CN,1710434454
322,kani keli,-12.9536,45.1033,28.59,75,53,4.85,YT,1710434454
323,holualoa,19.6228,-155.9522,19.91,80,0,2.57,US,1710434250
324,mount isa,-20.7333,139.5,20.87,73,22,0.0,AU,1710434155
325,ola,59.5833,151.2833,-7.55,80,100,6.63,RU,1710434454
326,villa dolores,-31.9459,-65.1896,30.58,54,97,1.6,AR,1710434454
327,mumford,5.2618,-0.759,28.91,80,86,7.53,GH,1710434454
328,tres arroyos,-38.3739,-60.2798,25.9,32,0,4.36,AR,1710434454
329,jamiltepec,16.2833,-97.8167,32.83,25,77,2.6,MX,1710434454
330,touros,-5.1989,-35.4608,31.3,64,97,5.39,BR,1710434454
331,lompoc,34.6391,-120.4579,15.0,57,20,4.12,US,1710434401
332,dhandhuka,22.3667,71.9833,26.31,33,0,3.66,IN,1710434455
333,lockwood,45.8191,-108.4149,3.48,74,100,1.54,US,1710434243
334,portland,45.5234,-122.6762,7.58,87,40,0.89,US,1710434010
335,byron bay,-28.65,153.6167,19.28,89,4,1.64,AU,1710434455
336,kudat,6.8837,116.8477,26.96,83,93,2.24,MY,1710434455
337,danilov,58.1908,40.1717,-1.75,90,100,3.99,RU,1710434455
338,santa vitoria do palmar,-33.5189,-53.3681,33.06,41,100,2.03,BR,1710434455
339,keningau,5.3378,116.1602,21.97,99,95,0.84,MY,1710434455
340,susanville,40.4163,-120.653,3.23,51,0,6.26,US,1710434455
341,abepura,-2.6333,140.5833,24.45,100,40,1.03,ID,1710434455
342,djibouti,11.5,42.5,23.92,75,17,7.43,DJ,1710434455
343,chernyshevsk,52.5243,117.0174,-15.42,89,3,1.6,RU,1710434455
344,galle,6.0367,80.217,26.8,75,52,1.21,LK,1710434455
345,robore,-18.3333,-59.75,33.05,55,40,5.14,BO,1710434455
346,aswan,24.0934,32.907,32.61,7,0,3.09,EG,1710434455
347,humaita,-7.5061,-63.0208,35.1,48,76,1.39,BR,1710434237
348,morehead city,34.7229,-76.726,27.0,66,0,4.12,US,1710434455
349,margate,51.3813,1.3862,13.95,74,89,0.45,GB,1710434289
350,igarka,67.4667,86.5833,-25.83,100,82,2.59,RU,1710434456
351,penzance,50.1186,-5.5371,12.38,100,75,8.75,GB,1710434456
352,vung tau,10.346,107.0843,26.69,76,100,7.2,VN,1710434456
353,sao joao dos inhamuns,-6.0,-40.2833,31.89,51,95,4.23,BR,1710434456
354,la'ie,21.6477,-157.9253,20.98,92,84,1.79,US,1710434456
355,greenville,35.6127,-77.3663,26.19,30,0,2.68,US,1710434322
356,ratnagiri,16.9833,73.3,23.87,76,0,5.02,IN,1710434456
357,sisimiut,66.9395,-53.6735,-9.82,86,97,0.99,GL,1710434456
358,codrington,-38.2667,141.9667,13.5,74,14,5.82,AU,1710434456
359,durango,24.8333,-104.8333,19.51,20,100,6.97,MX,1710434367
360,elmina,5.0898,-1.348,29.38,78,86,7.6,GH,1710434456
361,dhidhdhoo,6.8833,73.1,28.75,69,56,3.3,MV,1710434456
